Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Robert Backhouse,M,United Kingdom,GBR,1908,London,Archery,Archery Men's Double York Round,No medal,Archery,ARC,True
Robert Backhouse,M,United Kingdom,GBR,1908,London,Archery,Archery Men's Continental Style,No medal,Archery,ARC,True
Richard Bagnall-oakeley,M,United Kingdom,GBR,1908,London,Archery,Archery Men's Double York Round,No medal,Archery,ARC,True
Richard Bagnall-oakeley,M,United Kingdom,GBR,1908,London,Archery,Archery Men's Continental Style,No medal,Archery,ARC,True
Ronald Bishop,M,United Kingdom,GBR,1972,Munich,Archery,Archery Men's Individual,No medal,Archery,ARC,False
Mark Blenkarne,M,United Kingdom,GBR,1980,Moskva,Archery,Archery Men's Individual,No medal,Archery,ARC,False
John Bridges,M,United Kingdom,GBR,1908,London,Archery,Archery Men's Double York Round,No medal,Archery,ARC,True
John Bridges,M,United Kingdom,GBR,1908,London,Archery,Archery Men's Continental Style,No medal,Archery,ARC,True
Reginald Brooks-king,M,United Kingdom,GBR,1908,London,Archery,Archery Men's Double York Round,Silver,Archery,ARC,False
Charles Coates,M,United Kingdom,GBR,1908,London,Archery,Archery Men's Double York Round,No medal,Archery,ARC,False
Geoffrey Cornewall,M,United Kingdom,GBR,1908,London,Archery,Archery Men's Double York Round,No medal,Archery,ARC,True
Geoffrey Cornewall,M,United Kingdom,GBR,1908,London,Archery,Archery Men's Continental Style,No medal,Archery,ARC,True
William Dod,M,United Kingdom,GBR,1908,London,Archery,Archery Men's Double York Round,Gold,Archery,ARC,False
Peter Gillam,M,United Kingdom,GBR,1984,Los Angeles,Archery,Archery Men's Individual,No medal,Archery,ARC,False
Laurence Godfrey,M,United Kingdom,GBR,2004,Athina,Archery,Archery Men's Individual,No medal,Archery,ARC,True
Laurence Godfrey,M,United Kingdom,GBR,2008,Beijing,Archery,Archery Men's Individual,No medal,Archery,ARC,True
Laurence Godfrey,M,United Kingdom,GBR,2008,Beijing,Archery,Archery Men's Team,No medal,Archery,ARC,True
Laurence Godfrey,M,United Kingdom,GBR,2012,London,Archery,Archery Men's Individual,No medal,Archery,ARC,True
Laurence Godfrey,M,United Kingdom,GBR,2012,London,Archery,Archery Men's Team,No medal,Archery,ARC,True
Steven Hallard,M,United Kingdom,GBR,1984,Los Angeles,Archery,Archery Men's Individual,No medal,Archery,ARC,True
Steven Hallard,M,United Kingdom,GBR,1988,Seoul,Archery,Archery Men's Individual,No medal,Archery,ARC,True
Steven Hallard,M,United Kingdom,GBR,1988,Seoul,Archery,Archery Men's Team,Bronze,Archery,ARC,True
Steven Hallard,M,United Kingdom,GBR,1992,Barcelona,Archery,Archery Men's Individual,No medal,Archery,ARC,True
