Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Joan (-weedon),F,United Kingdom,GBR,1948,London,Gymnastics,Gymnastics Women's Team All-Around,No medal,False
Barbara (-collins),F,United Kingdom,GBR,1972,Munich,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Barbara (-collins),F,United Kingdom,GBR,1972,Munich,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Barbara (-collins),F,United Kingdom,GBR,1972,Munich,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Barbara (-collins),F,United Kingdom,GBR,1972,Munich,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Barbara (-collins),F,United Kingdom,GBR,1972,Munich,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Barbara (-collins),F,United Kingdom,GBR,1972,Munich,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Margaret Bell,F,United Kingdom,GBR,1968,Mexico City,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Margaret Bell,F,United Kingdom,GBR,1968,Mexico City,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Margaret Bell,F,United Kingdom,GBR,1968,Mexico City,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Margaret Bell,F,United Kingdom,GBR,1968,Mexico City,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Margaret Bell,F,United Kingdom,GBR,1968,Mexico City,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Doris Blake,F,United Kingdom,GBR,1936,Berlin,Gymnastics,Gymnastics Women's Team All-Around,No medal,False
Annie Broadbent,F,United Kingdom,GBR,1928,Amsterdam,Gymnastics,Gymnastics Women's Team All-Around,Bronze,False
Imogen Cairns,F,United Kingdom,GBR,2008,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Imogen Cairns,F,United Kingdom,GBR,2008,Beijing,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Imogen Cairns,F,United Kingdom,GBR,2008,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Imogen Cairns,F,United Kingdom,GBR,2008,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Imogen Cairns,F,United Kingdom,GBR,2008,Beijing,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Imogen Cairns,F,United Kingdom,GBR,2012,London,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Imogen Cairns,F,United Kingdom,GBR,2012,London,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Susan Cheesebrough,F,United Kingdom,GBR,1976,Montreal,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Susan Cheesebrough,F,United Kingdom,GBR,1976,Montreal,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Susan Cheesebrough,F,United Kingdom,GBR,1976,Montreal,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Susan Cheesebrough,F,United Kingdom,GBR,1976,Montreal,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Susan Cheesebrough,F,United Kingdom,GBR,1976,Montreal,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Susan Cheesebrough,F,United Kingdom,GBR,1980,Moskva,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Susan Cheesebrough,F,United Kingdom,GBR,1980,Moskva,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Susan Cheesebrough,F,United Kingdom,GBR,1980,Moskva,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Susan Cheesebrough,F,United Kingdom,GBR,1980,Moskva,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Susan Cheesebrough,F,United Kingdom,GBR,1980,Moskva,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Brenda (-halligan),F,United Kingdom,GBR,1936,Berlin,Gymnastics,Gymnastics Women's Team All-Around,No medal,False
Suzanne -reynolds),F,United Kingdom,GBR,1980,Moskva,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Suzanne -reynolds),F,United Kingdom,GBR,1980,Moskva,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Suzanne -reynolds),F,United Kingdom,GBR,1980,Moskva,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Suzanne -reynolds),F,United Kingdom,GBR,1980,Moskva,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Suzanne -reynolds),F,United Kingdom,GBR,1980,Moskva,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Cissy (-sanders),F,United Kingdom,GBR,1948,London,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Cissy (-sanders),F,United Kingdom,GBR,1952,Helsinki,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Cissy (-sanders),F,United Kingdom,GBR,1952,Helsinki,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Cissy (-sanders),F,United Kingdom,GBR,1952,Helsinki,Gymnastics,Gymnastics Women's Team Portable Apparatus,No medal,True
Cissy (-sanders),F,United Kingdom,GBR,1952,Helsinki,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Cissy (-sanders),F,United Kingdom,GBR,1952,Helsinki,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Cissy (-sanders),F,United Kingdom,GBR,1952,Helsinki,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Cissy (-sanders),F,United Kingdom,GBR,1952,Helsinki,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Natalie Davies,F,United Kingdom,GBR,1984,Los Angeles,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Natalie Davies,F,United Kingdom,GBR,1984,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Natalie Davies,F,United Kingdom,GBR,1984,Los Angeles,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Natalie Davies,F,United Kingdom,GBR,1984,Los Angeles,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Natalie Davies,F,United Kingdom,GBR,1984,Los Angeles,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Natalie Davies,F,United Kingdom,GBR,1984,Los Angeles,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Lucy Desmond,F,United Kingdom,GBR,1928,Amsterdam,Gymnastics,Gymnastics Women's Team All-Around,Bronze,False
Rebecca Downie,F,United Kingdom,GBR,2008,Beijing,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Rebecca Downie,F,United Kingdom,GBR,2008,Beijing,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Rebecca Downie,F,United Kingdom,GBR,2008,Beijing,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Rebecca Downie,F,United Kingdom,GBR,2008,Beijing,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Rebecca Downie,F,United Kingdom,GBR,2008,Beijing,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Rebecca Downie,F,United Kingdom,GBR,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Rebecca Downie,F,United Kingdom,GBR,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Rebecca Downie,F,United Kingdom,GBR,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Elissa Downie,F,United Kingdom,GBR,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Elissa Downie,F,United Kingdom,GBR,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Elissa Downie,F,United Kingdom,GBR,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Elissa Downie,F,United Kingdom,GBR,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Elissa Downie,F,United Kingdom,GBR,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
Elissa Downie,F,United Kingdom,GBR,2016,Rio de Janeiro,Gymnastics,Gymnastics Women's Balance Beam,No medal,True
Patricia (-whitford),F,United Kingdom,GBR,1948,London,Gymnastics,Gymnastics Women's Team All-Around,No medal,False
Cherrelle Fennell,F,United Kingdom,GBR,2004,Athina,Gymnastics,Gymnastics Women's Individual All-Around,No medal,True
Cherrelle Fennell,F,United Kingdom,GBR,2004,Athina,Gymnastics,Gymnastics Women's Team All-Around,No medal,True
Cherrelle Fennell,F,United Kingdom,GBR,2004,Athina,Gymnastics,Gymnastics Women's Floor Exercise,No medal,True
Cherrelle Fennell,F,United Kingdom,GBR,2004,Athina,Gymnastics,Gymnastics Women's Horse Vault,No medal,True
Cherrelle Fennell,F,United Kingdom,GBR,2004,Athina,Gymnastics,Gymnastics Women's Uneven Bars,No medal,True
