Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Sebastien Edgar,M,United Kingdom,GBR,2012,London,Handball,Handball Men's Handball,No medal,False
Robin Garnham,M,United Kingdom,GBR,2012,London,Handball,Handball Men's Handball,No medal,False
Martin Hare,M,United Kingdom,GBR,2012,London,Handball,Handball Men's Handball,No medal,False
Mark Hawkins,M,United Kingdom,GBR,2012,London,Handball,Handball Men's Handball,No medal,False
Steven Larsson,M,United Kingdom,GBR,2012,London,Handball,Handball Men's Handball,No medal,False
Christopher Mcdermott,M,United Kingdom,GBR,2012,London,Handball,Handball Men's Handball,No medal,False
Daniel Mcmillan,M,United Kingdom,GBR,2012,London,Handball,Handball Men's Handball,No medal,False
Christopher Mohr,M,United Kingdom,GBR,2012,London,Handball,Handball Men's Handball,No medal,False
Jesper Parker,M,United Kingdom,GBR,2012,London,Handball,Handball Men's Handball,No medal,False
John Pearce,M,United Kingdom,GBR,2012,London,Handball,Handball Men's Handball,No medal,False
Sebastian Prieto,M,United Kingdom,GBR,2012,London,Handball,Handball Men's Handball,No medal,False
Gawain Vincent,M,United Kingdom,GBR,2012,London,Handball,Handball Men's Handball,No medal,False
Robert White,M,United Kingdom,GBR,2012,London,Handball,Handball Men's Handball,No medal,False
Ciaran Williams,M,United Kingdom,GBR,2012,London,Handball,Handball Men's Handball,No medal,False
