Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Amelia (-harvey),F,United States,USA,1996,Atlanta,Athletics,Athletics Women's High Jump,No medal,Athletics,ATH,True,True
Amelia (-harvey),F,United States,USA,2000,Sydney,Athletics,Athletics Women's High Jump,No medal,Athletics,ATH,True,False
Amelia (-harvey),F,United States,USA,2004,Athina,Athletics,Athletics Women's High Jump,No medal,Athletics,ATH,True,False
Amelia (-harvey),F,United States,USA,2008,Beijing,Athletics,Athletics Women's High Jump,No medal,Athletics,ATH,True,False
Amelia (-harvey),F,United States,USA,2012,London,Athletics,Athletics Women's High Jump,No medal,Athletics,ATH,True,False
Morolake Akinosun,F,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,Athletics,ATH,False,True
Erin Aldrich,F,United States,USA,2000,Sydney,Athletics,Athletics Women's High Jump,No medal,Athletics,ATH,False,True
Nia Ali,F,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Women's 100 metres Hurdles,Silver,Athletics,ATH,False,True
Valeyta Althouse,F,United States,USA,1996,Atlanta,Athletics,Athletics Women's Shot Put,No medal,Athletics,ATH,False,True
Andrea (-bolder),F,United States,USA,2000,Sydney,Athletics,Athletics Women's 4 x 400 metres Relay,Gold,Athletics,ATH,False,True
Judith Anderson,F,United States,USA,1984,Los Angeles,Athletics,Athletics Women's Heptathlon,No medal,Athletics,ATH,False,True
Lindsey (olson-),F,United States,USA,2008,Beijing,Athletics,"Athletics Women's 3,000 metres Steeplechase",No medal,Athletics,ATH,False,True
Karen Anderson-oldham,F,United States,USA,1956,Melbourne,Athletics,Athletics Women's Javelin Throw,No medal,Athletics,ATH,True,True
Karen Anderson-oldham,F,United States,USA,1960,Roma,Athletics,Athletics Women's Javelin Throw,No medal,Athletics,ATH,True,False
Alice (-hodge),F,United States,USA,1936,Berlin,Athletics,Athletics Women's High Jump,No medal,Athletics,ATH,False,True
Evelyn (-washington),F,United States,USA,1976,Montreal,Athletics,Athletics Women's 100 metres,No medal,Athletics,ATH,True,True
Evelyn (-washington),F,United States,USA,1976,Montreal,Athletics,Athletics Women's 4 x 100 metres Relay,No medal,Athletics,ATH,True,True
Evelyn (-washington),F,United States,USA,1984,Los Angeles,Athletics,Athletics Women's 100 metres,Gold,Athletics,ATH,True,False
Evelyn (-washington),F,United States,USA,1984,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,Athletics,ATH,True,False
Evelyn (-washington),F,United States,USA,1988,Seoul,Athletics,Athletics Women's 100 metres,Silver,Athletics,ATH,True,False
Evelyn (-washington),F,United States,USA,1988,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,Athletics,ATH,True,False
Evelyn (-washington),F,United States,USA,1992,Barcelona,Athletics,Athletics Women's 100 metres,No medal,Athletics,ATH,True,False
Evelyn (-washington),F,United States,USA,1992,Barcelona,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,Athletics,ATH,True,False
Whitney Ashley,F,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Women's Discus Throw,No medal,Athletics,ATH,False,True
Kim Attlesey,F,United States,USA,1972,Munich,Athletics,Athletics Women's Long Jump,No medal,Athletics,ATH,False,True
Olga Avalos-appell,F,United States,USA,1996,Atlanta,Athletics,"Athletics Women's 10,000 metres",No medal,Athletics,ATH,False,True
Margaret (johnson-),F,United States,USA,1968,Mexico City,Athletics,Athletics Women's 100 metres,No medal,Athletics,ATH,True,True
Margaret (johnson-),F,United States,USA,1968,Mexico City,Athletics,Athletics Women's 200 metres,No medal,Athletics,ATH,True,True
Margaret (johnson-),F,United States,USA,1968,Mexico City,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,Athletics,ATH,True,True
RaNae (-seaman),F,United States,USA,1964,Tokyo,Athletics,Athletics Women's Javelin Throw,No medal,Athletics,ATH,True,True
RaNae (-seaman),F,United States,USA,1968,Mexico City,Athletics,Athletics Women's Javelin Throw,No medal,Athletics,ATH,True,False
Keshia (-kirtz),F,United States,USA,2012,London,Athletics,Athletics Women's 4 x 400 metres Relay,Gold,Athletics,ATH,False,True
Sharrieffa (-blair),F,United States,USA,1984,Los Angeles,Athletics,Athletics Women's 400 metres Hurdles,No medal,Athletics,ATH,False,True
Leonora Barnes-mileham,F,United States,USA,1996,Atlanta,Athletics,Athletics Women's Discus Throw,No medal,Athletics,ATH,False,True
Brigetta Barrett,F,United States,USA,2012,London,Athletics,Athletics Women's High Jump,Silver,Athletics,ATH,False,True
Jennifer Barringer-simpson,F,United States,USA,2008,Beijing,Athletics,"Athletics Women's 3,000 metres Steeplechase",No medal,Athletics,ATH,True,True
Jennifer Barringer-simpson,F,United States,USA,2012,London,Athletics,"Athletics Women's 1,500 metres",No medal,Athletics,ATH,True,False
Jennifer Barringer-simpson,F,United States,USA,2016,Rio de Janeiro,Athletics,"Athletics Women's 1,500 metres",Bronze,Athletics,ATH,True,False
Erica -fraley),F,United States,USA,2008,Beijing,Athletics,Athletics Women's Pole Vault,No medal,Athletics,ATH,False,True
Estelle (-diehl),F,United States,USA,1964,Tokyo,Athletics,Athletics Women's High Jump,No medal,Athletics,ATH,True,True
Estelle (-diehl),F,United States,USA,1968,Mexico City,Athletics,Athletics Women's High Jump,No medal,Athletics,ATH,True,False
Jane Batten,F,United States,USA,1996,Atlanta,Athletics,Athletics Women's 400 metres Hurdles,Silver,Athletics,ATH,True,True
Jane Batten,F,United States,USA,2000,Sydney,Athletics,Athletics Women's 400 metres Hurdles,No medal,Athletics,ATH,True,False
Amy Begley,F,United States,USA,2008,Beijing,Athletics,"Athletics Women's 10,000 metres",No medal,Athletics,ATH,False,True
Joan (-samuelson),F,United States,USA,1984,Los Angeles,Athletics,Athletics Women's Marathon,Gold,Athletics,ATH,False,True
Gwen Berry,F,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Women's Hammer Throw,No medal,Athletics,ATH,True,True
Paula Berry,F,United States,USA,1992,Barcelona,Athletics,Athletics Women's Javelin Throw,No medal,Athletics,ATH,False,True
Amanda Bingson,F,United States,USA,2012,London,Athletics,Athletics Women's Hammer Throw,No medal,Athletics,ATH,False,True
Kelly (-labounty),F,United States,USA,1996,Atlanta,Athletics,Athletics Women's Heptathlon,No medal,Athletics,ATH,False,True
Harriet (-green),F,United States,USA,1936,Berlin,Athletics,Athletics Women's 100 metres,No medal,Athletics,ATH,True,True
Harriet (-green),F,United States,USA,1936,Berlin,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,Athletics,ATH,True,True
Lynda (lipson-),F,United States,USA,2000,Sydney,Athletics,Athletics Women's Javelin Throw,No medal,Athletics,ATH,False,True
Delores Boeckmann,F,United States,USA,1928,Amsterdam,Athletics,Athletics Women's 800 metres,No medal,Athletics,ATH,False,True
Jeanette Bolden,F,United States,USA,1984,Los Angeles,Athletics,Athletics Women's 100 metres,No medal,Athletics,ATH,True,True
Jeanette Bolden,F,United States,USA,1984,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,Athletics,ATH,True,True
Rosalyn (-kreidler),F,United States,USA,1964,Tokyo,Athletics,Athletics Women's 80 metres Hurdles,No medal,Athletics,ATH,False,True
Brittany Borman,F,United States,USA,2012,London,Athletics,Athletics Women's Javelin Throw,No medal,Athletics,ATH,True,True
Brittany Borman,F,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Women's Javelin Throw,No medal,Athletics,ATH,True,False
Frentorish Bowie,F,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Women's 100 metres,Silver,Athletics,ATH,True,True
Frentorish Bowie,F,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Women's 200 metres,Bronze,Athletics,ATH,True,True
Frentorish Bowie,F,United States,USA,2016,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,Athletics,ATH,True,True
Rhonda -anderson),F,United States,USA,1976,Montreal,Athletics,Athletics Women's 100 metres Hurdles,No medal,Athletics,ATH,False,True
Cynthia (-whitmore),F,United States,USA,1984,Los Angeles,Athletics,"Athletics Women's 3,000 metres",No medal,Athletics,ATH,False,True
Valerie Brisco-hooks,F,United States,USA,1984,Los Angeles,Athletics,Athletics Women's 200 metres,Gold,Athletics,ATH,True,True
Valerie Brisco-hooks,F,United States,USA,1984,Los Angeles,Athletics,Athletics Women's 400 metres,Gold,Athletics,ATH,True,True
Valerie Brisco-hooks,F,United States,USA,1984,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,Gold,Athletics,ATH,True,True
Valerie Brisco-hooks,F,United States,USA,1988,Seoul,Athletics,Athletics Women's 400 metres,No medal,Athletics,ATH,True,False
Valerie Brisco-hooks,F,United States,USA,1988,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,Silver,Athletics,ATH,True,False
Tia Brooks,F,United States,USA,2012,London,Athletics,Athletics Women's Shot Put,No medal,Athletics,ATH,False,True
Alice (-harris),F,United States,USA,1984,Los Angeles,Athletics,Athletics Women's 100 metres,Silver,Athletics,ATH,True,True
Alice (-harris),F,United States,USA,1984,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,Athletics,ATH,True,True
Alice (-harris),F,United States,USA,1988,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,Athletics,ATH,True,False
Barbara Brown,F,United States,USA,1960,Roma,Athletics,Athletics Women's High Jump,No medal,Athletics,ATH,False,True
Doris -heritage),F,United States,USA,1968,Mexico City,Athletics,Athletics Women's 800 metres,No medal,Athletics,ATH,False,True
Earlene (dennis-),F,United States,USA,1956,Melbourne,Athletics,Athletics Women's Shot Put,No medal,Athletics,ATH,True,True
Earlene (dennis-),F,United States,USA,1956,Melbourne,Athletics,Athletics Women's Discus Throw,No medal,Athletics,ATH,True,True
Earlene (dennis-),F,United States,USA,1960,Roma,Athletics,Athletics Women's Shot Put,Bronze,Athletics,ATH,True,False
Earlene (dennis-),F,United States,USA,1960,Roma,Athletics,Athletics Women's Discus Throw,No medal,Athletics,ATH,True,False
Earlene (dennis-),F,United States,USA,1964,Tokyo,Athletics,Athletics Women's Shot Put,No medal,Athletics,ATH,True,False
Judith -clarke),F,United States,USA,1984,Los Angeles,Athletics,Athletics Women's 400 metres Hurdles,Silver,Athletics,ATH,False,True
Julie Brown,F,United States,USA,1984,Los Angeles,Athletics,Athletics Women's Marathon,No medal,Athletics,ATH,False,True
Roberta Brown,F,United States,USA,1972,Munich,Athletics,Athletics Women's Javelin Throw,No medal,Athletics,ATH,False,True
T'erea Brown,F,United States,USA,2012,London,Athletics,Athletics Women's 400 metres Hurdles,No medal,Athletics,ATH,False,True
Terrezene Brown,F,United States,USA,1964,Tokyo,Athletics,Athletics Women's High Jump,No medal,Athletics,ATH,False,True
Vivian (-reed),F,United States,USA,1964,Tokyo,Athletics,Athletics Women's 200 metres,No medal,Athletics,ATH,False,True
Wendy Brown,F,United States,USA,1988,Seoul,Athletics,Athletics Women's Heptathlon,No medal,Athletics,ATH,False,True
Stephanie Brown-trafton,F,United States,USA,2004,Athina,Athletics,Athletics Women's Discus Throw,No medal,Athletics,ATH,True,True
Stephanie Brown-trafton,F,United States,USA,2008,Beijing,Athletics,Athletics Women's Discus Throw,Gold,Athletics,ATH,True,False
Stephanie Brown-trafton,F,United States,USA,2012,London,Athletics,Athletics Women's Discus Throw,No medal,Athletics,ATH,True,False
Rosalyn (-clark),F,United States,USA,1976,Montreal,Athletics,Athletics Women's 400 metres,No medal,Athletics,ATH,True,True
Rosalyn (-clark),F,United States,USA,1976,Montreal,Athletics,Athletics Women's 4 x 400 metres Relay,Silver,Athletics,ATH,True,True
Tonja Buford-bailey,F,United States,USA,1992,Barcelona,Athletics,Athletics Women's 400 metres Hurdles,No medal,Athletics,ATH,True,True
Tonja Buford-bailey,F,United States,USA,1996,Atlanta,Athletics,Athletics Women's 400 metres Hurdles,Bronze,Athletics,ATH,True,False
Tonja Buford-bailey,F,United States,USA,2000,Sydney,Athletics,Athletics Women's 400 metres Hurdles,No medal,Athletics,ATH,True,False
Elizebeth Burch,F,United States,USA,1936,Berlin,Athletics,Athletics Women's Javelin Throw,No medal,Athletics,ATH,False,True
Dawn Burrell,F,United States,USA,2000,Sydney,Athletics,Athletics Women's Long Jump,No medal,Athletics,ATH,False,True
Shelia Burrell,F,United States,USA,2000,Sydney,Athletics,Athletics Women's Heptathlon,No medal,Athletics,ATH,True,True
