Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Jack Jr.,M,United States,USA,1988,Seoul,Archery,Archery Men's Individual,Gold,True
Jack Jr.,M,United States,USA,1988,Seoul,Archery,Archery Men's Team,Silver,True
Jack Jr.,M,United States,USA,1992,Barcelona,Archery,Archery Men's Individual,No medal,True
Jack Jr.,M,United States,USA,1992,Barcelona,Archery,Archery Men's Team,No medal,True
Edward Bruce,M,United States,USA,1904,St. Louis,Archery,Archery Men's Double American Round,No medal,True
Edward Bruce,M,United States,USA,1904,St. Louis,Archery,Archery Men's Double York Round,No medal,True
George Bryant,M,United States,USA,1904,St. Louis,Archery,Archery Men's Double American Round,Gold,True
George Bryant,M,United States,USA,1904,St. Louis,Archery,Archery Men's Double York Round,Gold,True
Wallace Bryant,M,United States,USA,1904,St. Louis,Archery,Archery Men's Double American Round,No medal,True
Wallace Bryant,M,United States,USA,1904,St. Louis,Archery,Archery Men's Double York Round,No medal,True
Amos Casselman,M,United States,USA,1904,St. Louis,Archery,Archery Men's Double American Round,No medal,False
William Clark,M,United States,USA,1904,St. Louis,Archery,Archery Men's Double American Round,No medal,False
Cyrus Dallin,M,United States,USA,1904,St. Louis,Archery,Archery Men's Double American Round,No medal,True
Cyrus Dallin,M,United States,USA,1904,St. Louis,Archery,Archery Men's Double York Round,No medal,True
Samuel Duvall,M,United States,USA,1904,St. Louis,Archery,Archery Men's Double American Round,No medal,False
Edwin Eliason,M,United States,USA,1972,Munich,Archery,Archery Men's Individual,No medal,False
Brady Ellison,M,United States,USA,2008,Beijing,Archery,Archery Men's Individual,No medal,True
Brady Ellison,M,United States,USA,2008,Beijing,Archery,Archery Men's Team,No medal,True
Brady Ellison,M,United States,USA,2012,London,Archery,Archery Men's Individual,No medal,True
Brady Ellison,M,United States,USA,2012,London,Archery,Archery Men's Team,Silver,True
Brady Ellison,M,United States,USA,2016,Rio de Janeiro,Archery,Archery Men's Individual,Bronze,True
Brady Ellison,M,United States,USA,2016,Rio de Janeiro,Archery,Archery Men's Team,Silver,True
Edward Frentz,M,United States,USA,1904,St. Louis,Archery,Archery Men's Double American Round,No medal,True
Edward Frentz,M,United States,USA,1904,St. Louis,Archery,Archery Men's Double York Round,No medal,True
Zach Garrett,M,United States,USA,2016,Rio de Janeiro,Archery,Archery Men's Individual,No medal,True
Zach Garrett,M,United States,USA,2016,Rio de Janeiro,Archery,Archery Men's Team,Silver,True
Charles Hubbard,M,United States,USA,1904,St. Louis,Archery,Archery Men's Double American Round,No medal,False
Justin Huish,M,United States,USA,1996,Atlanta,Archery,Archery Men's Individual,Gold,True
Justin Huish,M,United States,USA,1996,Atlanta,Archery,Archery Men's Team,Gold,True
Richard Johnson,M,United States,USA,1992,Barcelona,Archery,Archery Men's Individual,No medal,True
Richard Johnson,M,United States,USA,1992,Barcelona,Archery,Archery Men's Team,No medal,True
Richard Johnson,M,United States,USA,1996,Atlanta,Archery,Archery Men's Individual,No medal,True
Richard Johnson,M,United States,USA,1996,Atlanta,Archery,Archery Men's Team,Gold,True
Richard Johnson,M,United States,USA,2000,Sydney,Archery,Archery Men's Individual,No medal,True
Richard Johnson,M,United States,USA,2000,Sydney,Archery,Archery Men's Team,Bronze,True
Richard Johnson,M,United States,USA,2004,Athina,Archery,Archery Men's Individual,No medal,True
Richard Johnson,M,United States,USA,2004,Athina,Archery,Archery Men's Team,No medal,True
Richard Johnson,M,United States,USA,2008,Beijing,Archery,Archery Men's Individual,No medal,True
