Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Miller Anderson,M,United States,USA,1948,London,Diving,Diving Men's Springboard,Silver,True
Miller Anderson,M,United States,USA,1952,Helsinki,Diving,Diving Men's Springboard,Silver,True
Larry Andreasen,M,United States,USA,1964,Tokyo,Diving,Diving Men's Springboard,Bronze,False
Louis Balbach,M,United States,USA,1920,Antwerpen,Diving,Diving Men's Springboard,Bronze,True
Louis Balbach,M,United States,USA,1920,Antwerpen,Diving,Diving Men's Platform,No medal,True
Richard Beauchamp,M,United States,USA,1920,Antwerpen,Diving,Diving Men's Plain High,No medal,False
Philip Boggs,M,United States,USA,1976,Montreal,Diving,Diving Men's Springboard,Gold,False
Frank Bornamann,M,United States,USA,1906,Athina,Diving,Diving Men's Platform,No medal,False
David Boudia,M,United States,USA,2008,Beijing,Diving,Diving Men's Platform,No medal,True
David Boudia,M,United States,USA,2008,Beijing,Diving,Diving Men's Synchronized Platform,No medal,True
David Boudia,M,United States,USA,2012,London,Diving,Diving Men's Platform,Gold,True
David Boudia,M,United States,USA,2012,London,Diving,Diving Men's Synchronized Platform,Bronze,True
David Boudia,M,United States,USA,2016,Rio de Janeiro,Diving,Diving Men's Platform,Bronze,True
David Boudia,M,United States,USA,2016,Rio de Janeiro,Diving,Diving Men's Synchronized Platform,Silver,True
Mark Bradshaw,M,United States,USA,1988,Seoul,Diving,Diving Men's Springboard,No medal,False
David Jr.,M,United States,USA,1952,Helsinki,Diving,Diving Men's Springboard,Gold,False
Donald Bush,M,United States,USA,1972,Munich,Diving,Diving Men's Springboard,No medal,False
John Calhoun,M,United States,USA,1952,Helsinki,Diving,Diving Men's Platform,No medal,False
Robert Clotworthy,M,United States,USA,1952,Helsinki,Diving,Diving Men's Springboard,Bronze,True
Robert Clotworthy,M,United States,USA,1956,Melbourne,Diving,Diving Men's Springboard,Gold,True
Walter Colbath,M,United States,USA,1928,Amsterdam,Diving,Diving Men's Platform,No medal,False
Christopher Colwill,M,United States,USA,2008,Beijing,Diving,Diving Men's Springboard,No medal,True
Christopher Colwill,M,United States,USA,2008,Beijing,Diving,Diving Men's Synchronized Springboard,No medal,True
Christopher Colwill,M,United States,USA,2012,London,Diving,Diving Men's Springboard,No medal,True
Richard Connor,M,United States,USA,1956,Melbourne,Diving,Diving Men's Platform,Bronze,False
Robert Jr.,M,United States,USA,1976,Montreal,Diving,Diving Men's Springboard,No medal,False
Richard Degener,M,United States,USA,1932,Los Angeles,Diving,Diving Men's Springboard,Bronze,True
Richard Degener,M,United States,USA,1936,Berlin,Diving,Diving Men's Springboard,Gold,True
Ulise Desjardins,M,United States,USA,1924,Paris,Diving,Diving Men's Springboard,Silver,True
Ulise Desjardins,M,United States,USA,1924,Paris,Diving,Diving Men's Plain High,No medal,True
Ulise Desjardins,M,United States,USA,1928,Amsterdam,Diving,Diving Men's Springboard,Gold,True
Ulise Desjardins,M,United States,USA,1928,Amsterdam,Diving,Diving Men's Platform,Gold,True
Scott Donie,M,United States,USA,1992,Barcelona,Diving,Diving Men's Platform,Silver,True
Scott Donie,M,United States,USA,1996,Atlanta,Diving,Diving Men's Springboard,No medal,True
Sam Dorman,M,United States,USA,2016,Rio de Janeiro,Diving,Diving Men's Synchronized Springboard,Silver,False
Justin Dumais,M,United States,USA,2004,Athina,Diving,Diving Men's Synchronized Springboard,No medal,False
Troy Dumais,M,United States,USA,2000,Sydney,Diving,Diving Men's Springboard,No medal,True
Troy Dumais,M,United States,USA,2000,Sydney,Diving,Diving Men's Synchronized Springboard,No medal,True
Troy Dumais,M,United States,USA,2004,Athina,Diving,Diving Men's Springboard,No medal,True
Troy Dumais,M,United States,USA,2004,Athina,Diving,Diving Men's Synchronized Springboard,No medal,True
Troy Dumais,M,United States,USA,2008,Beijing,Diving,Diving Men's Springboard,No medal,True
Troy Dumais,M,United States,USA,2012,London,Diving,Diving Men's Springboard,No medal,True
Troy Dumais,M,United States,USA,2012,London,Diving,Diving Men's Synchronized Springboard,Bronze,True
Richard Earley,M,United States,USA,1972,Munich,Diving,Diving Men's Platform,No medal,False
