Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Ervin Acel,M,United States,USA,1928,Amsterdam,Fencing,"Fencing Men's Sabre, Team",No medal,Fencing,FEN,False
Hugh Alessandroni,M,United States,USA,1932,Los Angeles,Fencing,"Fencing Men's Foil, Team",Bronze,Fencing,FEN,True
Hugh Alessandroni,M,United States,USA,1936,Berlin,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,True
Hugh Alessandroni,M,United States,USA,1936,Berlin,Fencing,"Fencing Men's Foil, Team",No medal,Fencing,FEN,True
Philip Allison,M,United States,USA,1924,Paris,Fencing,"Fencing Men's Foil, Team",No medal,Fencing,FEN,False
Lawrence Anastasi,M,United States,USA,1964,Tokyo,Fencing,"Fencing Men's Foil, Team",No medal,Fencing,FEN,True
Lawrence Anastasi,M,United States,USA,1964,Tokyo,Fencing,"Fencing Men's epee, Team",No medal,Fencing,FEN,True
Lawrence Anastasi,M,United States,USA,1968,Mexico City,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,True
Lawrence Anastasi,M,United States,USA,1968,Mexico City,Fencing,"Fencing Men's Foil, Team",No medal,Fencing,FEN,True
Frank Anger,M,United States,USA,1964,Tokyo,Fencing,"Fencing Men's epee, Individual",No medal,Fencing,FEN,True
Frank Anger,M,United States,USA,1964,Tokyo,Fencing,"Fencing Men's epee, Team",No medal,Fencing,FEN,True
Paul Apostol,M,United States,USA,1972,Munich,Fencing,"Fencing Men's Sabre, Individual",No medal,Fencing,FEN,True
Paul Apostol,M,United States,USA,1972,Munich,Fencing,"Fencing Men's Sabre, Team",No medal,Fencing,FEN,True
Paul Apostol,M,United States,USA,1976,Montreal,Fencing,"Fencing Men's Sabre, Individual",No medal,Fencing,FEN,True
Paul Apostol,M,United States,USA,1976,Montreal,Fencing,"Fencing Men's Sabre, Team",No medal,Fencing,FEN,True
Albert Axelrod,M,United States,USA,1952,Helsinki,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,True
Albert Axelrod,M,United States,USA,1952,Helsinki,Fencing,"Fencing Men's Foil, Team",No medal,Fencing,FEN,True
Albert Axelrod,M,United States,USA,1956,Melbourne,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,True
Albert Axelrod,M,United States,USA,1956,Melbourne,Fencing,"Fencing Men's Foil, Team",No medal,Fencing,FEN,True
Albert Axelrod,M,United States,USA,1960,Roma,Fencing,"Fencing Men's Foil, Individual",Bronze,Fencing,FEN,True
Albert Axelrod,M,United States,USA,1960,Roma,Fencing,"Fencing Men's Foil, Team",No medal,Fencing,FEN,True
Albert Axelrod,M,United States,USA,1964,Tokyo,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,True
Albert Axelrod,M,United States,USA,1964,Tokyo,Fencing,"Fencing Men's Foil, Team",No medal,Fencing,FEN,True
Albert Axelrod,M,United States,USA,1968,Mexico City,Fencing,"Fencing Men's Foil, Team",No medal,Fencing,FEN,True
John Balla,M,United States,USA,1968,Mexico City,Fencing,"Fencing Men's Sabre, Team",No medal,Fencing,FEN,False
Edward Ballinger,M,United States,USA,1976,Montreal,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,True
Edward Ballinger,M,United States,USA,1976,Montreal,Fencing,"Fencing Men's Foil, Team",No medal,Fencing,FEN,True
Edward Barnett,M,United States,USA,1928,Amsterdam,Fencing,"Fencing Men's epee, Individual",No medal,Fencing,FEN,False
Clifford Bayer,M,United States,USA,1996,Atlanta,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,True
Clifford Bayer,M,United States,USA,1996,Atlanta,Fencing,"Fencing Men's Foil, Team",No medal,Fencing,FEN,True
Clifford Bayer,M,United States,USA,2000,Sydney,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,True
Robert Beck,M,United States,USA,1968,Mexico City,Fencing,"Fencing Men's epee, Team",No medal,Fencing,FEN,False
Tamir Bloom,M,United States,USA,1996,Atlanta,Fencing,"Fencing Men's epee, Individual",No medal,Fencing,FEN,True
Tamir Bloom,M,United States,USA,1996,Atlanta,Fencing,"Fencing Men's epee, Team",No medal,Fencing,FEN,True
Tamir Bloom,M,United States,USA,2000,Sydney,Fencing,"Fencing Men's epee, Individual",No medal,Fencing,FEN,True
Harold Bloomer,M,United States,USA,1924,Paris,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,False
Millard Jr.,M,United States,USA,1920,Antwerpen,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,False
Robert Blum,M,United States,USA,1964,Tokyo,Fencing,"Fencing Men's Sabre, Team",No medal,Fencing,FEN,True
Robert Blum,M,United States,USA,1968,Mexico City,Fencing,"Fencing Men's Sabre, Team",No medal,Fencing,FEN,True
Carl Borack,M,United States,USA,1972,Munich,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,True
Carl Borack,M,United States,USA,1972,Munich,Fencing,"Fencing Men's Foil, Team",No medal,Fencing,FEN,True
Roscoe Bowman,M,United States,USA,1920,Antwerpen,Fencing,"Fencing Men's Sabre, Individual",No medal,Fencing,FEN,True
Roscoe Bowman,M,United States,USA,1920,Antwerpen,Fencing,"Fencing Men's Sabre, Team",No medal,Fencing,FEN,True
William Bowman,M,United States,USA,1912,Stockholm,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,True
William Bowman,M,United States,USA,1912,Stockholm,Fencing,"Fencing Men's epee, Individual",No medal,Fencing,FEN,True
William Bowman,M,United States,USA,1912,Stockholm,Fencing,"Fencing Men's epee, Team",No medal,Fencing,FEN,True
Burke Boyce,M,United States,USA,1924,Paris,Fencing,"Fencing Men's Foil, Individual",No medal,Fencing,FEN,True
Burke Boyce,M,United States,USA,1924,Paris,Fencing,"Fencing Men's Foil, Team",No medal,Fencing,FEN,True
Andrew Boyd,M,United States,USA,1936,Berlin,Fencing,"Fencing Men's epee, Team",No medal,Fencing,FEN,True
Andrew Boyd,M,United States,USA,1948,London,Fencing,"Fencing Men's epee, Team",No medal,Fencing,FEN,True
