Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Elizabeth Anders,F,United States,USA,1984,Los Angeles,Hockey,Hockey Women's Hockey,Bronze,False
Kate Barber,F,United States,USA,2008,Beijing,Hockey,Hockey Women's Hockey,No medal,False
Kayla Bashore-smedley,F,United States,USA,2008,Beijing,Hockey,Hockey Women's Hockey,No medal,True
Kayla Bashore-smedley,F,United States,USA,2012,London,Hockey,Hockey Women's Hockey,No medal,True
Elizabeth Beglin,F,United States,USA,1984,Los Angeles,Hockey,Hockey Women's Hockey,Bronze,True
Elizabeth Beglin,F,United States,USA,1988,Seoul,Hockey,Hockey Women's Hockey,No medal,True
Diane (-molinaro),F,United States,USA,1988,Seoul,Hockey,Hockey Women's Hockey,No medal,False
Regina Buggy,F,United States,USA,1984,Los Angeles,Hockey,Hockey Women's Hockey,Bronze,False
Pamela Bustin,F,United States,USA,1996,Atlanta,Hockey,Hockey Women's Hockey,No medal,False
Gwen (-alexander),F,United States,USA,1984,Los Angeles,Hockey,Hockey Women's Hockey,Bronze,False
Sandra Costigan,F,United States,USA,1988,Seoul,Hockey,Hockey Women's Hockey,No medal,False
Lauren Crandall,F,United States,USA,2008,Beijing,Hockey,Hockey Women's Hockey,No medal,True
Lauren Crandall,F,United States,USA,2012,London,Hockey,Hockey Women's Hockey,No medal,True
Lauren Crandall,F,United States,USA,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,True
Rachel Dawson,F,United States,USA,2008,Beijing,Hockey,Hockey Women's Hockey,No medal,True
Rachel Dawson,F,United States,USA,2012,London,Hockey,Hockey Women's Hockey,No medal,True
Rachel Dawson,F,United States,USA,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,True
Megan Donnelly,F,United States,USA,1988,Seoul,Hockey,Hockey Women's Hockey,No medal,False
Kelly Doton,F,United States,USA,2008,Beijing,Hockey,Hockey Women's Hockey,No medal,False
Katelyn Falgowski,F,United States,USA,2008,Beijing,Hockey,Hockey Women's Hockey,No medal,True
Katelyn Falgowski,F,United States,USA,2012,London,Hockey,Hockey Women's Hockey,No medal,True
Katelyn Falgowski,F,United States,USA,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,True
Stefanie Fee,F,United States,USA,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,False
Kristen (-buchanan),F,United States,USA,1996,Atlanta,Hockey,Hockey Women's Hockey,No medal,False
Tracey Fuchs,F,United States,USA,1988,Seoul,Hockey,Hockey Women's Hockey,No medal,True
Tracey Fuchs,F,United States,USA,1996,Atlanta,Hockey,Hockey Women's Hockey,No medal,True
Jesse Gey,F,United States,USA,2008,Beijing,Hockey,Hockey Women's Hockey,No medal,False
Melissa Gonzalez,F,United States,USA,2012,London,Hockey,Hockey Women's Hockey,No medal,True
Melissa Gonzalez,F,United States,USA,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,True
Laurel Hershey-martin,F,United States,USA,1996,Atlanta,Hockey,Hockey Women's Hockey,No medal,False
Yolanda (-boothe),F,United States,USA,1988,Seoul,Hockey,Hockey Women's Hockey,No medal,False
Kelli James,F,United States,USA,1996,Atlanta,Hockey,Hockey Women's Hockey,No medal,False
Sheryl Johnson,F,United States,USA,1984,Los Angeles,Hockey,Hockey Women's Hockey,Bronze,True
Sheryl Johnson,F,United States,USA,1988,Seoul,Hockey,Hockey Women's Hockey,No medal,True
Michelle Kasold,F,United States,USA,2012,London,Hockey,Hockey Women's Hockey,No medal,True
Michelle Kasold,F,United States,USA,2016,Rio de Janeiro,Hockey,Hockey Women's Hockey,No medal,True
Kathrine (-beach),F,United States,USA,1996,Atlanta,Hockey,Hockey Women's Hockey,No medal,False
