Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Donald Jr.,M,United States,USA,1984,Los Angeles,Weightlifting,Weightlifting Men's Lightweight,No medal,False
Paul Anderson,M,United States,USA,1956,Melbourne,Weightlifting,Weightlifting Men's Heavyweight,Gold,False
Richard Bachtell,M,United States,USA,1932,Los Angeles,Weightlifting,Weightlifting Men's Featherweight,No medal,False
Alan Ball,M,United States,USA,1972,Munich,Weightlifting,Weightlifting Men's Heavyweight,No medal,False
Wesley Barnett,M,United States,USA,1992,Barcelona,Weightlifting,Weightlifting Men's Heavyweight I,No medal,True
Wesley Barnett,M,United States,USA,1996,Atlanta,Weightlifting,Weightlifting Men's Heavyweight II,No medal,True
Robert Bartholomew,M,United States,USA,1968,Mexico City,Weightlifting,Weightlifting Men's Middle-Heavyweight,No medal,False
Isaac Berger,M,United States,USA,1956,Melbourne,Weightlifting,Weightlifting Men's Featherweight,Gold,True
Isaac Berger,M,United States,USA,1960,Roma,Weightlifting,Weightlifting Men's Featherweight,Silver,True
Isaac Berger,M,United States,USA,1964,Tokyo,Weightlifting,Weightlifting Men's Featherweight,Silver,True
John Bergman,M,United States,USA,1988,Seoul,Weightlifting,Weightlifting Men's Super-Heavyweight,No medal,False
Samuel Bigler,M,United States,USA,1976,Montreal,Weightlifting,Weightlifting Men's Light-Heavyweight,No medal,False
James Bradford,M,United States,USA,1952,Helsinki,Weightlifting,Weightlifting Men's Heavyweight,Silver,True
James Bradford,M,United States,USA,1960,Roma,Weightlifting,Weightlifting Men's Heavyweight,Silver,True
Brett Brian,M,United States,USA,1988,Seoul,Weightlifting,Weightlifting Men's Middle-Heavyweight,No medal,True
Brett Brian,M,United States,USA,1992,Barcelona,Weightlifting,Weightlifting Men's Middle-Heavyweight,No medal,True
Thomas Calandro,M,United States,USA,1984,Los Angeles,Weightlifting,Weightlifting Men's Middle-Heavyweight,No medal,False
Mark Cameron,M,United States,USA,1976,Montreal,Weightlifting,Weightlifting Men's Heavyweight,No medal,False
Daniel Cantore,M,United States,USA,1972,Munich,Weightlifting,Weightlifting Men's Lightweight,No medal,True
Daniel Cantore,M,United States,USA,1976,Montreal,Weightlifting,Weightlifting Men's Lightweight,No medal,True
Frank Capsouras,M,United States,USA,1972,Munich,Weightlifting,Weightlifting Men's Heavyweight,No medal,False
Guy Carlton,M,United States,USA,1984,Los Angeles,Weightlifting,Weightlifting Men's Heavyweight II,Bronze,False
Oscar Iii,M,United States,USA,2000,Sydney,Weightlifting,Weightlifting Men's Middleweight,No medal,True
Oscar Iii,M,United States,USA,2004,Athina,Weightlifting,Weightlifting Men's Light-Heavyweight,No medal,True
Kenneth Clark,M,United States,USA,1984,Los Angeles,Weightlifting,Weightlifting Men's Heavyweight I,No medal,False
Clark Cleveland,M,United States,USA,1964,Tokyo,Weightlifting,Weightlifting Men's Light-Heavyweight,No medal,False
