Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Amrico Batista,M,Uruguay,URU,1952,Helsinki,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,True
Amrico Batista,M,Uruguay,URU,1952,Helsinki,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,True
Lem Punschke,M,Uruguay,URU,1952,Helsinki,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,True
Lem Punschke,M,Uruguay,URU,1952,Helsinki,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,True
Carlos Arrien,M,Uruguay,URU,1948,London,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,False
Alejandro Bonaba,M,Uruguay,URU,1988,Seoul,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,False
Ruben Orozco,M,Uruguay,URU,1948,London,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,False
Alberto Alvrez,M,Uruguay,URU,1948,London,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,True
Alberto Alvrez,M,Uruguay,URU,1952,Helsinki,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,True
Alberto Alvrez,M,Uruguay,URU,1952,Helsinki,Modern Pentathlon,Modern Pentathlon Men's Team,No medal,True
Daniel Curti,M,Uruguay,URU,1992,Barcelona,Modern Pentathlon,Modern Pentathlon Men's Individual,No medal,False
