Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Egamnazar Akbarov,M,Uzbekistan,UZB,2004,Athina,Judo,Judo Men's Lightweight,No medal,False
Armen Bagdasarov,M,Uzbekistan,UZB,1996,Atlanta,Judo,Judo Men's Middleweight,Silver,True
Armen Bagdasarov,M,Uzbekistan,UZB,2000,Sydney,Judo,Judo Men's Half-Heavyweight,No medal,True
Dilshod Choriyev,M,Uzbekistan,UZB,2012,London,Judo,Judo Men's Middleweight,No medal,False
Navruz Dzhurakobilov,M,Uzbekistan,UZB,2012,London,Judo,Judo Men's Lightweight,No medal,False
Mirzokhid Farmonov,M,Uzbekistan,UZB,2012,London,Judo,Judo Men's Half-Lightweight,No medal,False
Yakhyo Imomov,M,Uzbekistan,UZB,2012,London,Judo,Judo Men's Half-Middleweight,No medal,False
Sherali Juraev,M,Uzbekistan,UZB,2016,Rio de Janeiro,Judo,Judo Men's Middleweight,No medal,False
Murat Kalikulov,M,Uzbekistan,UZB,2004,Athina,Judo,Judo Men's Half-Lightweight,No medal,False
Utkir Kurbanov,M,Uzbekistan,UZB,2008,Beijing,Judo,Judo Men's Half-Heavyweight,No medal,False
Soyib Kurbonov,M,Uzbekistan,UZB,2016,Rio de Janeiro,Judo,Judo Men's Half-Heavyweight,No medal,False
Timur Mukhamedkhanov,M,Uzbekistan,UZB,1996,Atlanta,Judo,Judo Men's Half-Lightweight,No medal,False
Alisher Mukhtarov,M,Uzbekistan,UZB,1996,Atlanta,Judo,Judo Men's Extra-Lightweight,No medal,True
Alisher Mukhtarov,M,Uzbekistan,UZB,2000,Sydney,Judo,Judo Men's Extra-Lightweight,No medal,True
Shokir Muminov,M,Uzbekistan,UZB,2008,Beijing,Judo,Judo Men's Lightweight,No medal,False
Kamol Muradov,M,Uzbekistan,UZB,1996,Atlanta,Judo,Judo Men's Heavyweight,No medal,True
Kamol Muradov,M,Uzbekistan,UZB,2000,Sydney,Judo,Judo Men's Middleweight,No medal,True
Khurshid Nabiyev,M,Uzbekistan,UZB,2008,Beijing,Judo,Judo Men's Middleweight,No medal,False
Vyacheslav Pereteyko,M,Uzbekistan,UZB,2004,Athina,Judo,Judo Men's Middleweight,No medal,False
Shakhzodbek Sabirov,M,Uzbekistan,UZB,2016,Rio de Janeiro,Judo,Judo Men's Half-Middleweight,No medal,False
Ramziddin Saidov,M,Uzbekistan,UZB,2004,Athina,Judo,Judo Men's Half-Middleweight,No medal,True
Ramziddin Saidov,M,Uzbekistan,UZB,2012,London,Judo,Judo Men's Half-Heavyweight,No medal,True
Mirali Sharipov,M,Uzbekistan,UZB,2008,Beijing,Judo,Judo Men's Half-Lightweight,No medal,True
Mirali Sharipov,M,Uzbekistan,UZB,2016,Rio de Janeiro,Judo,Judo Men's Lightweight,No medal,True
