Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Mariya Bugakova,F,Uzbekistan,UZB,2000,Sydney,Swimming,Swimming Women's 100 metres Butterfly,No medal,Swimming,SWM,True,True
Mariya Bugakova,F,Uzbekistan,UZB,2004,Athina,Swimming,Swimming Women's 100 metres Butterfly,No medal,Swimming,SWM,True,False
Mariya Bugakova,F,Uzbekistan,UZB,2008,Beijing,Swimming,Swimming Women's 50 metres Freestyle,No medal,Swimming,SWM,True,False
Olga Gnedovskaya,F,Uzbekistan,UZB,2004,Athina,Swimming,Swimming Women's 100 metres Backstroke,No medal,Swimming,SWM,False,True
Saida Iskandarova,F,Uzbekistan,UZB,2000,Sydney,Swimming,Swimming Women's 50 metres Freestyle,No medal,Swimming,SWM,True,True
Saida Iskandarova,F,Uzbekistan,UZB,2004,Athina,Swimming,Swimming Women's 200 metres Backstroke,No medal,Swimming,SWM,True,False
Anastasiya Korolyova,F,Uzbekistan,UZB,2000,Sydney,Swimming,Swimming Women's 200 metres Breaststroke,No medal,Swimming,SWM,False,True
Yulduz Kuchkarova,F,Uzbekistan,UZB,2012,London,Swimming,Swimming Women's 200 metres Backstroke,No medal,Swimming,SWM,False,True
Ranokhon Omonova,F,Uzbekistan,UZB,2012,London,Swimming,Swimming Women's 200 metres Individual Medley,No medal,Swimming,SWM,True,True
Ranokhon Omonova,F,Uzbekistan,UZB,2016,Rio de Janeiro,Swimming,Swimming Women's 200 metres Individual Medley,No medal,Swimming,SWM,True,False
Ranokhon Omonova,F,Uzbekistan,UZB,2016,Rio de Janeiro,Swimming,Swimming Women's 400 metres Individual Medley,No medal,Swimming,SWM,True,False
Irina Shlemova,F,Uzbekistan,UZB,2004,Athina,Swimming,Swimming Women's 100 metres Freestyle,No medal,Swimming,SWM,True,True
Irina Shlemova,F,Uzbekistan,UZB,2008,Beijing,Swimming,Swimming Women's 100 metres Freestyle,No medal,Swimming,SWM,True,False
Natalya Kritinina,F,Uzbekistan,UZB,2020,Tokyo,Swimming,Women's 50m Freestyle,No medal,Women's,SWM,False,True
Anastasiya Zelinskaya,F,Uzbekistan,UZB,2024,Paris,Swimming,Women's 400m Freestyle,No medal,Women's,SWM,False,True
