Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Miguel Varga,M,Venezuela,VEN,1960,Roma,Boxing,Boxing Men's Light-Welterweight,No medal,False
Angel Amaya,M,Venezuela,VEN,1952,Helsinki,Boxing,Boxing Men's Bantamweight,No medal,False
Luis Aranguren,M,Venezuela,VEN,1952,Helsinki,Boxing,Boxing Men's Featherweight,No medal,False
Lus Daz,M,Venezuela,VEN,2016,Rio de Janeiro,Boxing,Boxing Men's Light-Welterweight,No medal,False
Jos Baptista,M,Venezuela,VEN,1972,Munich,Boxing,Boxing Men's Featherweight,No medal,False
Carlos Hernndez,M,Venezuela,VEN,1996,Atlanta,Boxing,Boxing Men's Bantamweight,No medal,False
Eduard Salas,M,Venezuela,VEN,2008,Beijing,Boxing,Boxing Men's Light-Flyweight,No medal,False
Alfonso Parra,M,Venezuela,VEN,2008,Beijing,Boxing,Boxing Men's Middleweight,No medal,False
Jos Bolvar,M,Venezuela,VEN,1984,Los Angeles,Boxing,Boxing Men's Light-Flyweight,Bronze,True
Jos Bolvar,M,Venezuela,VEN,1988,Seoul,Boxing,Boxing Men's Light-Flyweight,No medal,True
Jess Cabeza,M,Venezuela,VEN,1980,Moskva,Boxing,Boxing Men's Middleweight,No medal,False
Nelson Calzadilla,M,Venezuela,VEN,1976,Montreal,Boxing,Boxing Men's Lightweight,No medal,False
Salomon Carrizales,M,Venezuela,VEN,1952,Helsinki,Boxing,Boxing Men's Light-Welterweight,No medal,False
Omar Peraza,M,Venezuela,VEN,1984,Los Angeles,Boxing,Boxing Men's Featherweight,Bronze,True
Omar Peraza,M,Venezuela,VEN,1988,Seoul,Boxing,Boxing Men's Featherweight,No medal,True
Nehomar Cermeo,M,Venezuela,VEN,2000,Sydney,Boxing,Boxing Men's Bantamweight,No medal,False
Luis Contreras,M,Venezuela,VEN,1972,Munich,Boxing,Boxing Men's Light-Welterweight,No medal,False
Jos Guzman,M,Venezuela,VEN,1992,Barcelona,Boxing,Boxing Men's Welterweight,No medal,False
Elio Daz,M,Venezuela,VEN,1980,Moskva,Boxing,Boxing Men's Welterweight,No medal,False
Antonio Betancourt,M,Venezuela,VEN,1980,Moskva,Boxing,Boxing Men's Featherweight,No medal,False
Alexander Hernndez,M,Venezuela,VEN,2004,Athina,Boxing,Boxing Men's Bantamweight,No medal,False
Jos Mea,M,Venezuela,VEN,2012,London,Boxing,Boxing Men's Middleweight,No medal,False
Yoel Rivas,M,Venezuela,VEN,2016,Rio de Janeiro,Boxing,Boxing Men's Flyweight,Bronze,False
Pedro Gamarro,M,Venezuela,VEN,1976,Montreal,Boxing,Boxing Men's Welterweight,Silver,False
Jos Garca,M,Venezuela,VEN,1988,Seoul,Boxing,Boxing Men's Welterweight,No medal,False
Sergio Gascue,M,Venezuela,VEN,1952,Helsinki,Boxing,Boxing Men's Welterweight,No medal,False
Luis Hurtado,M,Venezuela,VEN,2008,Beijing,Boxing,Boxing Men's Light-Heavyweight,No medal,False
David Griman,M,Venezuela,VEN,1988,Seoul,Boxing,Boxing Men's Flyweight,No medal,False
Ramn Guevara,M,Venezuela,VEN,1976,Montreal,Boxing,Boxing Men's Light-Flyweight,No medal,True
Ramn Guevara,M,Venezuela,VEN,1980,Moskva,Boxing,Boxing Men's Flyweight,No medal,True
Jess Guevara,M,Venezuela,VEN,1996,Atlanta,Boxing,Boxing Men's Super-Heavyweight,No medal,False
Alfredo Lemus,M,Venezuela,VEN,1972,Munich,Boxing,Boxing Men's Light-Middleweight,No medal,True
Alfredo Lemus,M,Venezuela,VEN,1976,Montreal,Boxing,Boxing Men's Light-Middleweight,No medal,True
Patriz Rojas,M,Venezuela,VEN,2000,Sydney,Boxing,Boxing Men's Lightweight,No medal,True
Patriz Rojas,M,Venezuela,VEN,2004,Athina,Boxing,Boxing Men's Light-Welterweight,No medal,True
Lus Cabrera,M,Venezuela,VEN,2016,Rio de Janeiro,Boxing,Boxing Men's Lightweight,No medal,False
Gabriel Prez,M,Venezuela,VEN,2012,London,Boxing,Boxing Men's Welterweight,No medal,True
Gabriel Prez,M,Venezuela,VEN,2016,Rio de Janeiro,Boxing,Boxing Men's Welterweight,No medal,True
Hctor Rangel,M,Venezuela,VEN,2008,Beijing,Boxing,Boxing Men's Bantamweight,No medal,False
