Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Dieter Drr,M,West Germany,FRG,1976,Montreal,Diving,Diving Men's Springboard,No medal,True
Dieter Drr,M,West Germany,FRG,1976,Montreal,Diving,Diving Men's Platform,No medal,True
Dieter Drr,M,West Germany,FRG,1984,Los Angeles,Diving,Diving Men's Springboard,No medal,True
Dieter Drr,M,West Germany,FRG,1984,Los Angeles,Diving,Diving Men's Platform,No medal,True
Gerhard Hlzl,M,West Germany,FRG,1972,Munich,Diving,Diving Men's Springboard,No medal,False
Norbert Huda,M,West Germany,FRG,1968,Mexico City,Diving,Diving Men's Springboard,No medal,True
Norbert Huda,M,West Germany,FRG,1972,Munich,Diving,Diving Men's Springboard,No medal,True
Norbert Huda,M,West Germany,FRG,1976,Montreal,Diving,Diving Men's Springboard,No medal,True
Albin Killat,M,West Germany,FRG,1984,Los Angeles,Diving,Diving Men's Springboard,No medal,True
Albin Killat,M,West Germany,FRG,1984,Los Angeles,Diving,Diving Men's Platform,No medal,True
Albin Killat,M,West Germany,FRG,1988,Seoul,Diving,Diving Men's Springboard,No medal,True
Albin Killat,M,West Germany,FRG,1988,Seoul,Diving,Diving Men's Platform,No medal,True
Klaus Konzorr,M,West Germany,FRG,1968,Mexico City,Diving,Diving Men's Platform,No medal,True
Klaus Konzorr,M,West Germany,FRG,1972,Munich,Diving,Diving Men's Platform,No medal,True
Wilfried Meyer,M,West Germany,FRG,1988,Seoul,Diving,Diving Men's Springboard,No medal,True
Wilfried Meyer,M,West Germany,FRG,1988,Seoul,Diving,Diving Men's Platform,No medal,True
Ulrich Reff,M,West Germany,FRG,1968,Mexico City,Diving,Diving Men's Springboard,No medal,False
Karlheinz Schwemmer,M,West Germany,FRG,1968,Mexico City,Diving,Diving Men's Platform,No medal,True
Karlheinz Schwemmer,M,West Germany,FRG,1972,Munich,Diving,Diving Men's Platform,No medal,True
Reinhard Bauer,M,West Germany,FRG,1972,Munich,Diving,Diving Men's Springboard,No medal,False
Bernd Wucherpfennig,M,West Germany,FRG,1968,Mexico City,Diving,Diving Men's Platform,No medal,True
Bernd Wucherpfennig,M,West Germany,FRG,1972,Munich,Diving,Diving Men's Platform,No medal,True
