Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
uro (freund),M,Yugoslavia,YUG,1928,Amsterdam,Fencing,"Fencing Men's Foil, Individual",No medal,False
Franjo (frhlich),M,Yugoslavia,YUG,1928,Amsterdam,Fencing,"Fencing Men's Sabre, Individual",No medal,False
Eugen Jakobi,M,Yugoslavia,YUG,1936,Berlin,Fencing,"Fencing Men's Sabre, Team",No medal,False
Mirko Kori,M,Yugoslavia,YUG,1936,Berlin,Fencing,"Fencing Men's Foil, Individual",No medal,True
Mirko Kori,M,Yugoslavia,YUG,1936,Berlin,Fencing,"Fencing Men's Foil, Team",No medal,True
Edvard Marion,M,Yugoslavia,YUG,1936,Berlin,Fencing,"Fencing Men's Foil, Individual",No medal,True
Edvard Marion,M,Yugoslavia,YUG,1936,Berlin,Fencing,"Fencing Men's Foil, Team",No medal,True
Edvard Marion,M,Yugoslavia,YUG,1936,Berlin,Fencing,"Fencing Men's Sabre, Team",No medal,True
Ivan Maurani,M,Yugoslavia,YUG,1936,Berlin,Fencing,"Fencing Men's Foil, Team",No medal,True
Ivan Maurani,M,Yugoslavia,YUG,1936,Berlin,Fencing,"Fencing Men's epee, Individual",No medal,True
Aleksandar Nikoli,M,Yugoslavia,YUG,1936,Berlin,Fencing,"Fencing Men's Foil, Team",No medal,False
Marjan Pengov,M,Yugoslavia,YUG,1936,Berlin,Fencing,"Fencing Men's Foil, Individual",No medal,True
Marjan Pengov,M,Yugoslavia,YUG,1936,Berlin,Fencing,"Fencing Men's Foil, Team",No medal,True
Mladen Pintari,M,Yugoslavia,YUG,1936,Berlin,Fencing,"Fencing Men's Sabre, Individual",No medal,True
Mladen Pintari,M,Yugoslavia,YUG,1936,Berlin,Fencing,"Fencing Men's Sabre, Team",No medal,True
Milivoj Radovi,M,Yugoslavia,YUG,1936,Berlin,Fencing,"Fencing Men's Sabre, Individual",No medal,True
Milivoj Radovi,M,Yugoslavia,YUG,1936,Berlin,Fencing,"Fencing Men's Sabre, Team",No medal,True
Branislav Tretinjak,M,Yugoslavia,YUG,1936,Berlin,Fencing,"Fencing Men's Foil, Team",No medal,False
Kreimir Tretinjak,M,Yugoslavia,YUG,1936,Berlin,Fencing,"Fencing Men's epee, Individual",No medal,True
Kreimir Tretinjak,M,Yugoslavia,YUG,1936,Berlin,Fencing,"Fencing Men's Sabre, Individual",No medal,True
Kreimir Tretinjak,M,Yugoslavia,YUG,1936,Berlin,Fencing,"Fencing Men's Sabre, Team",No medal,True
Aleksandar Vasin,M,Yugoslavia,YUG,1960,Roma,Fencing,"Fencing Men's Sabre, Individual",No medal,False
