Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Pavle Bajeti,M,Yugoslavia,YUG,1972,Munich,Judo,Judo Men's Half-Heavyweight,No medal,Judo,JUD,True,True
Pavle Bajeti,M,Yugoslavia,YUG,1972,Munich,Judo,Judo Men's Open Class,No medal,Judo,JUD,True,True
Dragomir Beanovi,M,Yugoslavia,YUG,1988,Seoul,Judo,Judo Men's Half-Lightweight,No medal,Judo,JUD,False,True
Radomir Kovaevi,M,Yugoslavia,YUG,1976,Montreal,Judo,Judo Men's Heavyweight,No medal,Judo,JUD,True,True
Radomir Kovaevi,M,Yugoslavia,YUG,1976,Montreal,Judo,Judo Men's Open Class,No medal,Judo,JUD,True,True
Radomir Kovaevi,M,Yugoslavia,YUG,1980,Moskva,Judo,Judo Men's Heavyweight,Bronze,Judo,JUD,True,False
Radomir Kovaevi,M,Yugoslavia,YUG,1984,Los Angeles,Judo,Judo Men's Heavyweight,No medal,Judo,JUD,True,False
Rajko Kui,M,Yugoslavia,YUG,1980,Moskva,Judo,Judo Men's Half-Heavyweight,No medal,Judo,JUD,False,True
Dragomir Kusmuk,M,Yugoslavia,YUG,1988,Seoul,Judo,Judo Men's Heavyweight,No medal,Judo,JUD,False,True
Filip Leak,M,Yugoslavia,YUG,1984,Los Angeles,Judo,Judo Men's Half-Middleweight,No medal,Judo,JUD,True,True
Filip Leak,M,Yugoslavia,YUG,1988,Seoul,Judo,Judo Men's Half-Middleweight,No medal,Judo,JUD,True,False
Stanko Lopati,M,Yugoslavia,YUG,1984,Los Angeles,Judo,Judo Men's Middleweight,No medal,Judo,JUD,False,True
Slavko Obadov,M,Yugoslavia,YUG,1972,Munich,Judo,Judo Men's Middleweight,No medal,Judo,JUD,True,True
Slavko Obadov,M,Yugoslavia,YUG,1976,Montreal,Judo,Judo Men's Middleweight,Bronze,Judo,JUD,True,False
Slavko Obadov,M,Yugoslavia,YUG,1980,Moskva,Judo,Judo Men's Middleweight,No medal,Judo,JUD,True,False
Franc Oko,M,Yugoslavia,YUG,1980,Moskva,Judo,Judo Men's Half-Lightweight,No medal,Judo,JUD,True,True
Franc Oko,M,Yugoslavia,YUG,1984,Los Angeles,Judo,Judo Men's Half-Lightweight,No medal,Judo,JUD,True,False
Slavko Sikiri,M,Yugoslavia,YUG,1980,Moskva,Judo,Judo Men's Half-Middleweight,No medal,Judo,JUD,False,True
Ivan Todorov,M,Yugoslavia,YUG,1988,Seoul,Judo,Judo Men's Middleweight,No medal,Judo,JUD,False,True
Stanko Topolnik,M,Yugoslavia,YUG,1972,Munich,Judo,Judo Men's Lightweight,No medal,Judo,JUD,False,True
Ivan Vidmajer,M,Yugoslavia,YUG,1976,Montreal,Judo,Judo Men's Lightweight,No medal,Judo,JUD,False,True
Vojislav Vujevi,M,Yugoslavia,YUG,1980,Moskva,Judo,Judo Men's Lightweight,No medal,Judo,JUD,True,True
Vojislav Vujevi,M,Yugoslavia,YUG,1984,Los Angeles,Judo,Judo Men's Lightweight,No medal,Judo,JUD,True,False
Goran Uvela,M,Yugoslavia,YUG,1976,Montreal,Judo,Judo Men's Half-Heavyweight,No medal,Judo,JUD,False,True
