Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events
Klement-Mile Alujevi,M,Yugoslavia,YUG,1948,London,Rowing,Rowing Men's Coxless Fours,No medal,Rowing,ROW,False
Roman Ambroi,M,Yugoslavia,YUG,1988,Seoul,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,False
Milan Areina,M,Yugoslavia,YUG,1980,Moskva,Rowing,Rowing Men's Quadruple Sculls,No medal,Rowing,ROW,False
Josip Bajlo,M,Yugoslavia,YUG,1972,Munich,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Romano Bajlo,M,Yugoslavia,YUG,1972,Munich,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Zdenko Bala,M,Yugoslavia,YUG,1964,Tokyo,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,True
Zdenko Bala,M,Yugoslavia,YUG,1964,Tokyo,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,True
iril Ban,M,Yugoslavia,YUG,1936,Berlin,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,True
iril Ban,M,Yugoslavia,YUG,1936,Berlin,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,True
Vladimir Banjanac,M,Yugoslavia,YUG,1988,Seoul,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,False
Jadran Barut,M,Yugoslavia,YUG,1964,Tokyo,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Branko Beci,M,Yugoslavia,YUG,1948,London,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Zdenko Bego,M,Yugoslavia,YUG,1952,Helsinki,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Branko Belai,M,Yugoslavia,YUG,1952,Helsinki,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Boris Beljak,M,Yugoslavia,YUG,1952,Helsinki,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Joe Berc,M,Yugoslavia,YUG,1964,Tokyo,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,True
Joe Berc,M,Yugoslavia,YUG,1972,Munich,Rowing,Rowing Men's Coxless Fours,No medal,Rowing,ROW,True
Duje Bonai,M,Yugoslavia,YUG,1952,Helsinki,Rowing,Rowing Men's Coxless Fours,Gold,Rowing,ROW,False
Josip Bujas,M,Yugoslavia,YUG,1960,Roma,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,False
Leonardo Bujas,M,Yugoslavia,YUG,1936,Berlin,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
ime Bujas,M,Yugoslavia,YUG,1948,London,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,False
Milan Butorac,M,Yugoslavia,YUG,1976,Montreal,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,False
Zlatko Celent,M,Yugoslavia,YUG,1976,Montreal,Rowing,Rowing Men's Coxless Pairs,No medal,Rowing,ROW,True
Zlatko Celent,M,Yugoslavia,YUG,1980,Moskva,Rowing,Rowing Men's Coxed Pairs,Bronze,Rowing,ROW,True
Zlatko Celent,M,Yugoslavia,YUG,1984,Los Angeles,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,True
Zlatko Celent,M,Yugoslavia,YUG,1988,Seoul,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,True
Alojz Colja,M,Yugoslavia,YUG,1964,Tokyo,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Milan Ulibrk,M,Yugoslavia,YUG,1980,Moskva,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,False
Nikola Upin,M,Yugoslavia,YUG,1960,Roma,Rowing,Rowing Men's Coxless Pairs,No medal,Rowing,ROW,False
Josip Despot,M,Yugoslavia,YUG,1972,Munich,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Stanko Despot,M,Yugoslavia,YUG,1952,Helsinki,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Boidar Orevi,M,Yugoslavia,YUG,1980,Moskva,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,False
Duko Orevi,M,Yugoslavia,YUG,1948,London,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,True
Duko Orevi,M,Yugoslavia,YUG,1948,London,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,True
Sveto Drenovac,M,Yugoslavia,YUG,1948,London,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Ivo Fabris,M,Yugoslavia,YUG,1936,Berlin,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,False
Vid Faai,M,Yugoslavia,YUG,1936,Berlin,Rowing,Rowing Men's Double Sculls,No medal,Rowing,ROW,False
Zdravko Gracin,M,Yugoslavia,YUG,1972,Munich,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Janez Grbelja,M,Yugoslavia,YUG,1972,Munich,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
piro Grubii,M,Yugoslavia,YUG,1936,Berlin,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Antun Guberina,M,Yugoslavia,YUG,1964,Tokyo,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,False
Vladimir Horvat,M,Yugoslavia,YUG,1952,Helsinki,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Marko Horvatin,M,Yugoslavia,YUG,1948,London,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,False
Zdravko Huljev,M,Yugoslavia,YUG,1972,Munich,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Dragutin Husjak,M,Yugoslavia,YUG,1952,Helsinki,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Mirko Ivani,M,Yugoslavia,YUG,1984,Los Angeles,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,False
Antun Ivankovi,M,Yugoslavia,YUG,1960,Roma,Rowing,Rowing Men's Coxless Pairs,No medal,Rowing,ROW,False
Slavko Janjuevi,M,Yugoslavia,YUG,1964,Tokyo,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,False
Milan Jana,M,Yugoslavia,YUG,1988,Seoul,Rowing,Rowing Men's Coxed Pairs,No medal,Rowing,ROW,False
Milo Jana,M,Yugoslavia,YUG,1972,Munich,Rowing,Rowing Men's Coxless Fours,No medal,Rowing,ROW,False
Davor Jelaska,M,Yugoslavia,YUG,1936,Berlin,Rowing,Rowing Men's Single Sculls,No medal,Rowing,ROW,False
Slobodan Jovanovi,M,Yugoslavia,YUG,1948,London,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Vicentije Jurii,M,Yugoslavia,YUG,1936,Berlin,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,True
Vicentije Jurii,M,Yugoslavia,YUG,1936,Berlin,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,True
Boris Klavora,M,Yugoslavia,YUG,1964,Tokyo,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Lucijan Kleva,M,Yugoslavia,YUG,1964,Tokyo,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Duan Kovaevi,M,Yugoslavia,YUG,1980,Moskva,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,False
Antun Krnevi,M,Yugoslavia,YUG,1936,Berlin,Rowing,Rowing Men's Coxed Eights,No medal,Rowing,ROW,False
Daniel Krnevi,M,Yugoslavia,YUG,1948,London,Rowing,Rowing Men's Coxed Fours,No medal,Rowing,ROW,False
