Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
ura Bjedov,F,Yugoslavia,YUG,1968,Mexico City,Swimming,Swimming Women's 100 metres Breaststroke,Gold,True
ura Bjedov,F,Yugoslavia,YUG,1968,Mexico City,Swimming,Swimming Women's 200 metres Breaststroke,Silver,True
ura Bjedov,F,Yugoslavia,YUG,1968,Mexico City,Swimming,Swimming Women's 4 x 100 metres Medley Relay,No medal,True
Ana Boban,F,Yugoslavia,YUG,1968,Mexico City,Swimming,Swimming Women's 100 metres Freestyle,No medal,True
Ana Boban,F,Yugoslavia,YUG,1968,Mexico City,Swimming,Swimming Women's 4 x 100 metres Medley Relay,No medal,True
Zdenka Gapara,F,Yugoslavia,YUG,1968,Mexico City,Swimming,Swimming Women's 100 metres Backstroke,No medal,True
Zdenka Gapara,F,Yugoslavia,YUG,1968,Mexico City,Swimming,Swimming Women's 200 metres Backstroke,No medal,True
Zdenka Gapara,F,Yugoslavia,YUG,1968,Mexico City,Swimming,Swimming Women's 4 x 100 metres Medley Relay,No medal,True
Zdenka Gapara,F,Yugoslavia,YUG,1972,Munich,Swimming,Swimming Women's 100 metres Backstroke,No medal,True
Zdenka Gapara,F,Yugoslavia,YUG,1972,Munich,Swimming,Swimming Women's 200 metres Backstroke,No medal,True
Vinka Jerievi,F,Yugoslavia,YUG,1956,Melbourne,Swimming,Swimming Women's 200 metres Breaststroke,No medal,False
Anamarija Petrievi,F,Yugoslavia,YUG,1988,Seoul,Swimming,Swimming Women's 200 metres Breaststroke,No medal,True
Anamarija Petrievi,F,Yugoslavia,YUG,1988,Seoul,Swimming,Swimming Women's 200 metres Individual Medley,No medal,True
Anamarija Petrievi,F,Yugoslavia,YUG,1988,Seoul,Swimming,Swimming Women's 400 metres Individual Medley,No medal,True
Mirjana Egrt,F,Yugoslavia,YUG,1968,Mexico City,Swimming,Swimming Women's 100 metres Freestyle,No medal,True
Mirjana Egrt,F,Yugoslavia,YUG,1968,Mexico City,Swimming,Swimming Women's 200 metres Freestyle,No medal,True
Mirjana Egrt,F,Yugoslavia,YUG,1968,Mexico City,Swimming,Swimming Women's 4 x 100 metres Medley Relay,No medal,True
