Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Discipline,Event Code,Multiple Events,First Event
Charles Chibwe,M,Zambia,ZAM,1980,Moskva,Judo,Judo Men's Extra-Lightweight,No medal,Judo,JUD,False,True
Rex Chizooma,M,Zambia,ZAM,1980,Moskva,Judo,Judo Men's Half-Heavyweight,No medal,Judo,JUD,False,True
George Hamaiko,M,Zambia,ZAM,1980,Moskva,Judo,Judo Men's Lightweight,No medal,Judo,JUD,False,True
Alick Kalwihzi,M,Zambia,ZAM,1984,Los Angeles,Judo,Judo Men's Lightweight,No medal,Judo,JUD,False,True
James Mafuta,M,Zambia,ZAM,1984,Los Angeles,Judo,Judo Men's Extra-Lightweight,No medal,Judo,JUD,False,True
Leyton Mafuta,M,Zambia,ZAM,1992,Barcelona,Judo,Judo Men's Extra-Lightweight,No medal,Judo,JUD,False,True
Donald Mukahatesho,M,Zambia,ZAM,1980,Moskva,Judo,Judo Men's Middleweight,No medal,Judo,JUD,False,True
Boas Munyonga,M,Zambia,ZAM,2012,London,Judo,Judo Men's Half-Middleweight,No medal,Judo,JUD,False,True
Francis Mwahza,M,Zambia,ZAM,1980,Moskva,Judo,Judo Men's Half-Lightweight,No medal,Judo,JUD,False,True
Mathews Punza,M,Zambia,ZAM,2016,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,No medal,Judo,JUD,False,True
Henry Sichalwe,M,Zambia,ZAM,1980,Moskva,Judo,Judo Men's Half-Middleweight,No medal,Judo,JUD,False,True
Asafu Tembo,M,Zambia,ZAM,1984,Los Angeles,Judo,Judo Men's Half-Middleweight,No medal,Judo,JUD,False,True
Steven Mungandu,M,Zambia,ZAM,2020,Tokyo,Judo,Men -66 kg,No medal,Men,JUD,False,True
Simon Zulu,M,Zambia,ZAM,2024,Paris,Judo,Men -60 kg,No medal,Men,JUD,False,True
